,Cycle,A1,A2,A4,A5,A7,A8,B1,B2,B4,B5,B7,B8,C1,C2,C4,C5,C7,C8,D1,D2,D4,D5,D7,D8,E1,E2,E4,E5,E7,E8,F1,F2,F4,F5,F7,F8,G1,G2,G4,G5,G7,G8,H1,H2,H4,H5,H7,H8
,11,33.2165554627059,27.9786480401249,268.844836326532,266.856422894782,150.641062669178,160.295440545494,28.7297616625387,39.5266212740312,319.095099205671,332.336631530218,257.683305845635,238.367178719679,19.664880493588,19.8102862675623,234.484227732395,242.925255311175,193.660112223384,176.088382285354,32.2249576791646,61.9528277779559,395.588059958441,446.465180132691,239.55457474169,227.185302835736,7.25877972347189,4.53615895310759,113.521958605747,131.894298492115,116.975817720732,146.37299027482,25.4567486211154,34.5626215592843,266.495029112878,276.376440976733,228.620992548239,228.857914780176,5.20061188685077,2.38205811869784,80.698903388341,83.1191285470723,72.3890918767779,70.5034252276282,160.65502309807,174.541516360676,935.400107989563,945.607242103197,339.934435543111,328.900659585332
,12,62.6989867240472,60.2856321704267,422.26781238453,416.887456983414,265.671755417764,270.896433762105,74.4372946650283,83.315272853552,507.106428365779,523.812750583205,418.257254909492,388.81750915589,43.5344830397603,41.5763635223466,394.128305259747,405.740516133283,332.569901268248,306.244515447289,71.4281322016523,105.870473317731,596.980448031596,660.868744778922,396.787857760908,377.733760376253,19.0628232043659,14.9072671075423,207.836992413702,227.253751579352,223.392422162146,268.756217604043,56.7852538928878,64.877984173605,442.869836838998,461.199132467046,388.974199305263,387.552059662657,12.5251103374312,17.2618012990743,155.214132389949,163.586494264072,136.714907060657,138.414791298801,276.494748372201,299.769391391592,1021.52201634891,1029.42055799103,531.642934038097,515.542144615955
,13,118.91093104169,116.405545578863,581.76004959052,571.23955141072,418.563648614303,427.116941255629,146.128472104289,166.657092274632,709.904085923318,730.270520301594,627.140371872731,584.181917239896,85.2090232659939,90.2925573792727,616.251401308249,631.39095732813,537.841842163605,511.187332787112,136.911184829389,177.775842323527,780.517119403974,856.971163892169,605.18805942879,575.260524160558,39.9842909325589,39.0306762264358,350.958419678552,374.428201623438,389.085432909606,447.303326518517,114.206025842391,124.906147762511,671.717835753007,694.25985214284,616.653507780364,611.764171364581,28.3156892848938,38.8535596173028,279.141154952299,295.604172532678,251.048752629568,258.141196298438,440.53693965511,475.697240971586,1053.60364860217,1062.05640803546,734.865457680455,709.58595170014
,14,218.382443567429,211.072633299113,711.867669213393,697.766650672125,580.807386426572,584.191656871139,265.788567487263,298.043622083601,881.686233245166,903.630243670968,816.902504496604,759.964870279719,156.823819438166,171.138011699597,832.650522029846,848.448734902948,783.526693797815,742.96983956454,244.607819770268,300.413467713169,919.638580615976,1002.55801296179,802.20504980146,762.022827855609,72.6929173248118,74.7532813864973,558.861987117889,589.37353051859,613.393566397934,684.565438215706,215.378222517243,232.582108000747,887.606395540468,912.430792761581,842.606196693746,833.506204591182,64.6245879571679,78.9132471947496,454.047833403216,478.211728021915,421.518842064454,432.252451950506,626.374549470543,664.094234591384,1056.60513765205,1066.24869716504,907.863340015095,874.831791122439
,15,354.111367243047,345.684660262654,791.164020487923,775.490527558197,712.999590934511,711.606628775325,434.835167393861,482.762480059324,993.010254119201,1015.47403643694,958.879663586931,887.924592573654,276.751512314194,299.102965483832,1010.92611536576,1026.5806433953,1000.80802804486,948.714704185835,400.952666672039,469.359834311539,993.427243420516,1079.71798999184,957.237953691615,909.349243596039,136.634239892897,140.90417390149,773.417834328499,802.786389669155,826.274726160403,912.164029821065,368.391983140215,392.568932356635,1057.98860785433,1081.17873183079,1038.93241653391,1025.88270530677,131.835077617027,151.739968727102,636.56286225329,679.26441720196,630.177989517719,644.378154586773,783.852671286252,825.648393713761,1056.65015556961,1068.17127453555,1023.34118871675,983.428816477205
,16,509.101848831365,496.598873764999,822.158499356392,806.897748306171,799.667469065367,796.321940106653,610.07764738221,677.386456142366,1040.39638114202,1060.81170823647,1038.44696806658,958.998273449871,451.91890723705,488.334508036446,1120.98592886681,1135.42290686327,1156.76562156455,1098.16091689524,572.922185827552,658.088143021225,1012.33848329855,1098.55110816772,1052.70529561983,999.569680741083,247.462573518614,259.86959620276,954.439461231161,990.191297036091,1000.83599008171,1098.50626330126,558.340926520986,597.880553557993,1157.93794229054,1178.18142816001,1171.1164858691,1154.47561502543,237.993891088183,267.945913777313,796.116717974039,850.969298040189,818.251289312379,836.888984810295,890.334002604414,934.378357983614,1059.12264172979,1070.65993427582,1079.55425342906,1036.41537177793
,17,636.619155517975,617.90289816086,827.648916075443,811.502478031863,838.472640606215,833.938421710133,755.159508396159,837.613441955656,1048.1932114725,1066.32191827854,1068.84735075243,984.020473435799,642.855198834244,692.815880853425,1161.17922613866,1176.4569056155,1240.86034804984,1177.75178632837,718.835426099367,815.854155486083,1008.05103835615,1095.41463501392,1090.47614414557,1034.86631635634,415.213134810944,430.734017666654,1072.23077432582,1111.51118677047,1109.43076602466,1213.76890343695,736.045900902295,784.780461486962,1191.00649407676,1208.73558012344,1233.54090956533,1215.77026105422,386.329347499721,431.407638817805,903.176774293574,962.79150062583,959.997589099437,981.242498471368,939.913158552145,982.718055426878,1061.6544266677,1075.33446906213,1095.09958994855,1052.55000863174
,18,724.769670101303,700.477739302658,827.48684912057,809.458622755889,853.69008952573,848.495166996602,850.608630775058,939.332625136736,1043.93731999943,1062.67208901668,1078.70992488979,991.883382964042,800.904666674676,862.986565485479,1166.69365216834,1181.92878594276,1271.7821009308,1205.49797251463,816.462899889087,917.546352111977,1000.81459964338,1088.82775151289,1102.88152270722,1046.73642321123,609.123850180777,637.197503907746,1123.79181142888,1163.84962938751,1154.29423151641,1260.71886367315,875.37602500476,928.340944358651,1193.76797042746,1211.18055033409,1252.33609634505,1235.78739883834,547.007123513518,604.595412360792,950.117034542203,1012.03853458665,1040.01368316528,1063.55251123556,953.89335604064,992.52059001454,1066.28262209676,1078.25685741633,1099.05787012411,1056.38316712339
,19,765.164623663996,736.876500284379,826.245386386356,810.202262370662,857.559617410314,851.650645404887,890.728097497598,983.06016267594,1041.90510604782,1058.81562677215,1081.03923313744,992.88492709727,903.139697321373,974.665739255871,1160.22689659229,1175.48704848816,1278.88645668225,1211.58168990913,856.593067756753,959.465662590681,999.010453621458,1085.8866376777,1103.26382900495,1047.23804320534,782.321054390952,821.235273805273,1131.75475704887,1172.19755396378,1164.12803644673,1272.1390350399,956.986069551115,1012.15024576321,1187.3578487273,1207.60352252542,1257.50295699321,1241.48599257609,681.552745960727,748.19403922462,954.46242704083,1015.07182862635,1070.84088519488,1093.73243373103,957.675079087085,990.552319679447,1068.95584320994,1083.45929901689,1103.18055991649,1060.19436302419
,20,777.565319048868,747.150890666854,826.171601676057,811.588717793308,863.170930933782,856.029601529628,903.778097097591,995.263090658899,1039.5858950394,1058.68360914272,1084.41520147268,997.500820337,954.100209763954,1027.44441878369,1160.64212508789,1174.81241881429,1285.48947873618,1216.0075831976,862.978265395713,967.338793149243,999.361261051914,1084.69590399576,1106.85747432802,1049.66234000352,912.088159136721,957.066364373501,1131.72604891872,1171.8462412437,1167.41452765297,1277.03020795325,992.4043522243,1047.47676938896,1187.38343740288,1210.49225222355,1263.50766559053,1249.06894659045,773.958234532826,846.797689905549,947.994708962177,1009.47502272228,1079.07530601922,1103.52704701,962.987560343194,992.363107197157,1072.03257265192,1086.94163541393,1107.93423108489,1063.21512075848
