A1: Ladder,B1: Subject1 T1 IGH,C1: Subject1 T1 BCR,D1: Subject1 T1 TCR,E1: Subject1 T2 IGH,F1: Subject1 T2 BCR,G1: Subject1 T2 TCR,H1: Subject1 T3 IGH,A2: Subject1 T3 BCR,B2: Subject1 T3 TCR,C2: Subject1 T4 IGH,D2: Subject1 T4 BCR
0.4472723,0.1819534,0.1093502,0.2147322,0.4087753,0.2020526,0.3363662,0.472374,0.3827667,0.1718969,0.114994,0.4017797
0.3475561,0.1193862,0.2363038,0.2270074,0.4432855,0.2986112,0.3556266,0.4149499,0.2395062,0.1615882,0.09809256,0.4498758
0.3336039,0.1741519,0.3269205,0.2805734,0.4331341,0.31602,0.3542218,0.2290196,0.3054347,0.1389842,0.1913757,0.3778262
0.2824235,0.2551355,0.3500557,0.4086056,0.3581729,0.1605129,0.4073529,0.09072876,0.3103843,0.1861424,0.2103872,0.3310499
0.3076158,0.2801652,0.3703952,0.320982,0.1781459,0.04966545,0.4370065,0.01979733,0.4446368,0.09662151,0.2619429,0.293725
0.3093958,0.3122396,0.4075851,0.3969321,0.09619093,0.05090618,0.5202894,0.05261755,0.4314842,0.1361942,0.2346773,0.2606592
0.3510523,0.3089857,0.4499388,0.3594732,0.2145052,0.107101,0.4827099,0.01964855,0.3500843,0.2205844,0.1452589,0.2589469
0.238698,0.3280959,0.3960266,0.3731856,0.1317859,0.1637087,0.4274278,0.2260046,0.3521199,0.1356883,0.09777355,0.2249336
0.1552153,0.2240252,0.410399,0.3784189,0.1265788,0.2996335,0.2540674,0.199297,0.3264318,0.06871033,0.0624671,0.2420893
0.1704779,0.2526078,0.3828177,0.4093413,0.1234989,0.254477,0.1348429,0.258007,0.3026052,0.06083298,0.009489536,0.2317681
0.1166797,0.2064009,0.4239306,0.3943524,0.1138706,0.3535256,0.08031988,0.3381143,0.2621112,0.1892419,0.03259611,0.2778287
0.1296558,0.2169352,0.4288273,0.298358,0.3231177,0.3756371,0,0.2989721,0.1821008,0.2106328,0,0.2796416
0.1767058,0.420959,0.3910642,0.2931643,0.3983827,0.3753614,0.07333517,0.1362247,0.2769575,0.2019949,0.04085779,0.2128077
0.3517942,0.5861592,0.3517852,0.3157992,0.3301997,0.3194566,0.1523709,0.06948757,0.2903428,0.1298676,0.1219935,0.2348971
0.3769054,0.5555353,0.2946687,0.300384,0.2825618,0.3043966,0.1557965,0.03790283,0.4275188,0.07386303,0.1714144,0.0912075
0.3506331,0.650331,0.2811193,0.4742098,0.378531,0.4878421,0.2191091,0.1188278,0.46071,0.1394343,0.2741847,0.1136489
0.3786311,0.5871768,0.2147832,0.4824929,0.5725727,0.4317322,0.1195593,0.09274864,0.3732142,0.1635981,0.4606066,0.1032701
0.4165692,0.6278415,0.3103013,0.6276774,0.5647645,0.3186798,0.08078909,0.2033544,0.3206182,0.09364319,0.4917364,0.04522276
0.4733763,0.5700893,0.3393345,0.7324357,0.6050067,0.4197555,0.07805252,0.1119685,0.3943501,0.1673303,0.4135714,0.02661371
0.4722543,0.5560899,0.3903599,0.8554497,0.6173949,0.3173356,0.0422864,0.1385694,0.4388347,0.2806225,0.4158525,0.04694128
0.4148636,0.5588927,0.4375,0.8280654,0.6338696,0.3311028,0.0812192,0.1099095,0.4315143,0.4924541,0.4366126,0.1771245
0.3381524,0.6965566,0.4748383,0.7429123,0.6044512,0.2433734,0.1783657,0,0.4632096,0.4736733,0.3879294,0.1997943
0.2895384,0.7695284,0.5229158,0.6743994,0.5787044,0.2332187,0.2993569,0.03445768,0.520421,0.5038686,0.4525456,0.1153269
0.2984052,0.8254433,0.5164971,0.6230211,0.3255997,0.1950617,0.2813382,0.02884102,0.6513448,0.4522262,0.4864812,0.0653038
0.1192517,0.8083835,0.5099764,0.6484957,0.3072891,0.20472,0.2640171,0.09594107,0.6845889,0.6676273,0.504343,0.06257391
0,0.7998395,0.594727,0.6986332,0.3556576,0.2636423,0.356883,0.1470599,0.6730175,0.8562217,0.6118355,0.06950903
0.04852915,0.7826495,0.6079402,0.6997638,0.3803802,0.1730247,0.2998557,0.1041455,0.5717173,0.8926444,0.6879106,0.07612324
0.1473279,0.9015589,0.6987996,0.7390594,0.5082455,0.2296629,0.429255,0.2312593,0.5591164,0.8891397,0.5715299,0.1621504
0.1815138,1.08469,0.6245856,0.7322235,0.6893859,0.2755356,0.4811068,0.2166047,0.6479807,0.9942999,0.4779305,0.2348671
0.1967096,1.217102,0.6590533,0.7486386,0.8063903,0.2059207,0.5480852,0.2981348,0.8003998,1.126285,0.4635439,0.3684692
0.2884035,1.480078,0.8084497,0.6814656,0.95995,0.3588076,0.5763783,0.3580728,0.9082046,1.136668,0.337626,0.3452921
0.1972938,1.784183,0.8856206,0.599226,1.055412,0.3310246,0.5869889,0.3425264,1.041653,1.095005,0.3585544,0.2638216
0.2293162,2.087026,1.053702,0.6185594,1.120317,0.4227376,0.5835462,0.3909354,1.198907,1.206542,0.3481898,0.1356573
0.227613,2.448833,1.198118,0.7326465,1.075608,0.4661689,0.4279089,0.3052187,1.536883,1.437707,0.3139172,0.07098484
0.1663451,2.871867,1.401801,0.8716388,1.071811,0.5620956,0.4521284,0.2712965,1.832751,1.8919,0.3512454,0.05363894
0.2493019,3.482364,1.70193,1.171903,1.098444,0.6457229,0.5258164,0.2816601,2.185272,2.387802,0.5441098,0.004166126
0.3317428,4.275716,1.936049,1.472224,1.067702,0.8047891,0.5087905,0.336803,2.664634,3.032861,0.810595,0
